[Sun Oct 22 16:40:53.963652 2023] [core:error] [pid 24481] [client 84.17.42.51:53009] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 16:40:53.985913 2023] [core:error] [pid 29404] [client 84.17.42.51:53667] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 16:40:56.799571 2023] [core:error] [pid 30731] [client 18.134.243.176:55263] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 16:40:56.831559 2023] [core:error] [pid 26959] [client 18.134.243.176:48989] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 16:40:56.836019 2023] [core:error] [pid 8046] [client 18.134.243.176:60535] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 16:40:56.836744 2023] [core:error] [pid 17246] [client 18.134.243.176:41245] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 16:40:57.251577 2023] [core:error] [pid 31069] [client 37.120.207.27:45999] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 16:40:57.253691 2023] [core:error] [pid 24482] [client 37.120.207.27:39241] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 16:40:57.268106 2023] [core:error] [pid 32381] [client 37.120.207.27:37205] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 16:40:57.283984 2023] [core:error] [pid 24481] [client 37.120.207.27:48057] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
